state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
HI,3/20/2020,27.11799762,18.82209493,35.4139003,0.01120797011,0.006076043763,0.01633989646,,,
IA,3/20/2020,147.64,124.1182501,171.1617499,0.01785714286,0.01499277264,0.02072151308,,,
ID,3/20/2020,139.56,116.9546818,162.1653182,0.04,0.03347421529,0.04652578471,,,
IL,3/20/2020,1157.060606,1091.056038,1223.065174,0.01818181818,0.01714283975,0.01922079661,,,
IN,3/20/2020,827.1290323,772.358331,881.8997335,0.03966005666,0.03698863671,0.0423314766,,,
KS,3/20/2020,92.40858896,74.39225128,110.4249266,0.01071975498,0.008458498494,0.01298101146,,,
KY,3/20/2020,184.1759465,158.0930294,210.2588637,0.01162790698,0.009935214735,0.01332059922,,,
LA,3/20/2020,2285.598485,2200.882268,2370.314702,0.1377314815,0.1323460397,0.1431169233,,,
MD,3/20/2020,0,0,0,0,0,0,,,
ME,3/20/2020,140.9824561,118.865626,163.0992862,0.04964539007,0.0414502973,0.05784048284,,,
MI,3/20/2020,1021.984733,961.324151,1082.645315,0.05813953488,0.05467165783,0.06160741193,,,
MN,3/20/2020,189.7209302,162.9969789,216.4448816,0.01492537313,0.01281185586,0.0170388904,,,
MO,3/20/2020,242.2820037,212.7228943,271.8411131,0.01233299075,0.01074992209,0.01391605941,,,
MS,3/20/2020,217.7816594,189.4821972,246.0811215,0.0248447205,0.02155588726,0.02813355374,,,
MT,3/20/2020,14.93069307,7.629865315,22.23152082,0.004,0.001903671349,0.006096328651,,,
NC,3/20/2020,706.0375,655.7022855,756.3727145,0.04697986577,0.04356279427,0.05039693728,,,
ND,3/20/2020,43.88732394,31.16881849,56.6058294,0.01818181818,0.01278988573,0.02357375063,,,
NE,3/20/2020,0,0,0,0,0,0,,,
NM,3/20/2020,91.2,72.98544044,109.4145596,0.02083333333,0.01653095248,0.02513571418,,,
NY,3/20/2020,5400.828482,5267.562595,5534.094369,0.1059419622,0.1032115585,0.108672366,,,
OH,3/20/2020,398.9621212,360.8117786,437.1124638,0.01838755304,0.01657003933,0.02020506675,,,
OK,3/20/2020,365.2997481,329.4838575,401.1156387,0.02732919255,0.02447798343,0.03018040166,,,
OR,3/20/2020,76.10232558,59.45359774,92.75105343,0.02631578947,0.02040336482,0.03222821413,,,
PA,3/20/2020,559.6478873,513.6492467,605.6465279,0.01408450704,0.01292479948,0.0152442146,,,
PR,3/20/2020,0,0,0,0,0,0,,,
RI,3/20/2020,93.54,75.24764728,111.8323527,0.03797468354,0.03030242481,0.04564694228,,,
SC,3/20/2020,0,0,0,0,0,0,,,
TN,3/20/2020,3353.935484,3245.690902,3462.180066,0.08461538462,0.08186648477,0.08736428446,,,
