name,code,All Ages,Age 0 - 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Aged 85+
Richmond upon Thames,E09000027,197891,"12,318","14,025","12,892","9,672","8,075","9,759","12,363","16,075","16,957","16,542","14,781","12,854","10,213","8,806","8,463","5,635","4,034","4,426"
Sutton,E09000029,205710,"13,547","14,571","13,296","10,523","9,417","11,583","14,418","17,423","16,164","15,416","14,885","12,792","10,086","8,475","8,351","5,720","4,487","4,553"
Waltham Forest,E09000031,278616,"21,659","19,628","16,753","14,472","15,807","22,235","27,915","26,505","21,231","18,899","17,529","14,544","11,502","8,943","7,433","5,235","4,161","4,164"
Bracknell Forest,E06000036,122451,"7,272","8,295","8,227","7,074","6,353","7,306","8,598","9,359","8,675","9,152","9,170","8,345","6,601","5,283","4,914","3,116","2,436","2,272"
Brighton and Hove,E06000043,292527,"13,648","14,539","14,404","18,524","33,984","28,742","21,594","20,113","18,493","19,996","20,226","16,859","12,458","10,521","10,117","6,934","5,283","6,090"
Isle of Wight,E06000046,142359,"6,276","7,155","7,198","6,770","6,473","6,750","6,736","6,808","6,854","8,916","10,753","10,843","10,562","10,513","11,361","7,798","5,246","5,348"
Medway,E06000035,278593,"18,194","19,117","17,646","16,135","16,477","19,898","19,928","18,674","17,174","18,343","19,405","18,021","14,748","12,696","12,755","8,316","5,946","5,121"
Milton Keynes,E06000042,269950,"18,618","21,027","19,327","14,484","12,816","16,193","19,524","22,243","20,741","19,099","17,817","15,995","13,837","12,159","10,287","6,705","4,645","4,434"
Portsmouth,E06000044,216211,"12,503","13,121","12,145","14,567","24,148","19,302","15,541","14,011","11,770","12,927","13,166","12,470","9,988","8,059","8,374","5,550","4,271","4,297"
Reading,E06000038,163834,"11,349","11,167","9,749","10,057","14,553","14,111","12,496","12,869","11,129","10,371","10,090","8,658","6,920","5,466","5,201","3,799","2,887","2,961"
Slough,E06000039,149776,"12,416","13,129","11,791","8,752","7,695","9,267","11,758","14,143","12,568","10,120","9,076","7,551","6,306","4,981","3,573","2,697","1,972","1,983"
Southampton,E06000045,254250,"15,563","15,597","13,364","16,921","32,184","25,444","18,484","16,846","14,097","13,709","13,785","13,233","11,125","9,420","8,939","6,149","4,545","4,844"
West Berkshire,E06000037,158453,"8,743","10,262","10,364","9,064","7,140","8,012","8,737","9,627","10,322","11,891","12,579","11,479","9,648","8,468","8,533","5,772","3,981","3,835"
Windsor and Maidenhead,E06000040,151188,"8,524","9,678","10,343","8,584","6,329","7,620","8,853","10,481","10,799","11,604","11,610","10,309","8,018","7,078","7,436","5,291","4,162","4,467"
Wokingham,E06000041,170114,"9,757","12,266","11,814","9,944","7,416","7,984","9,839","11,768","12,720","13,047","12,560","11,561","9,305","7,831","7,996","5,723","4,338","4,247"
Buckinghamshire,E10000002,542932,"31,972","37,019","36,472","29,700","25,309","28,570","31,139","35,350","36,517","39,591","40,623","37,270","30,715","26,551","26,713","19,485","15,036","14,898"
East Sussex,E10000011,557683,"26,702","31,051","31,062","28,437","25,661","26,866","27,651","29,739","29,259","36,309","41,886","41,154","36,998","36,094","39,651","26,829","20,264","22,067"
Hampshire,E10000014,1382974,"73,115","84,045","82,098","73,307","67,795","74,383","79,295","82,676","83,197","95,809","1,02,931","99,208","84,171","76,310","81,815","56,971","42,459","43,383"
Kent,E10000016,1582500,"90,551","1,00,456","98,590","88,048","86,768","93,081","94,961","97,603","93,440","1,06,502","1,15,120","1,06,344","91,268","83,755","88,700","60,227","43,585","43,495"
Oxfordshire,E10000025,691855,"38,922","42,911","41,263","40,615","49,042","45,116","42,580","45,303","41,992","45,732","48,068","45,083","37,263","33,273","33,761","24,323","18,273","18,335"
Surrey,E10000030,1193669,"68,878","77,761","75,062","66,759","64,766","64,435","65,706","77,188","83,059","86,900","88,187","81,672","65,837","57,080","59,190","42,369","32,879","35,931"
West Sussex,E10000032,865423,"46,078","52,381","50,274","43,007","38,884","44,428","48,431","53,151","52,808","59,394","63,800","60,667","53,066","49,614","53,291","37,578","28,436","30,131"
Bath and North East Somerset,E06000022,194097,"9,417","10,602","10,540","14,122","20,571","14,977","10,810","10,117","9,936","11,761","12,448","11,984","10,077","9,328","9,716","6,884","5,376","5,431"
"Bournemouth, Christchurch and Poole",E06000058,396916,"20,351","22,627","21,251","21,797","26,536","22,980","24,198","26,237","23,880","25,726","27,191","25,758","22,154","21,394","22,574","15,791","12,556","13,926"
"Bristol, City of",E06000023,467788,"28,723","28,182","24,889","26,898","51,508","51,696","42,254","34,130","27,080","25,277","24,955","22,628","19,139","16,618","15,366","10,981","8,437","9,028"
Cornwall,E06000052,572029,"27,844","32,245","31,203","29,904","30,314","28,249","28,296","30,300","30,160","37,131","41,680","42,457","39,716","38,449","40,722","26,957","18,656","17,750"
Isles of Scilly,E06000053,2135,102,125,95,68,104,114,120,128,122,128,158,158,155,139,155,110,74,80
North Somerset,E06000024,215500,"11,358","13,013","12,377","10,871","9,368","10,376","11,598","13,038","12,919","14,880","15,869","14,997","13,175","12,851","14,299","9,954","7,273","7,282"
Plymouth,E06000026,263804,"14,658","15,956","14,448","15,910","23,164","18,854","16,976","16,709","13,989","15,952","17,353","16,571","14,562","12,844","13,243","9,228","6,777","6,615"
South Gloucestershire,E06000025,286179,"16,331","17,581","16,734","15,610","17,600","18,593","19,632","19,069","17,276","19,173","20,878","18,985","15,072","13,735","14,110","10,726","7,774","7,300"
Swindon,E06000030,223722,"14,227","15,201","13,757","11,837","11,271","13,565","15,637","16,362","14,958","16,722","16,519","15,250","12,276","10,450","9,576","6,570","4,794","4,744"
Torbay,E06000027,136646,"6,732","7,617","7,179","6,529","6,135","6,921","7,085","6,801","6,612","8,689","10,013","10,258","9,616","9,191","10,048","7,044","5,024","5,147"
Wiltshire,E06000054,503436,"27,029","31,459","30,987","26,810","22,602","26,739","29,329","29,963","28,858","35,838","38,164","36,481","31,028","28,598","29,405","20,550","14,804","14,792"
Devon,E10000008,803301,"36,887","43,493","43,115","41,577","43,011","44,195","42,087","42,196","41,240","49,818","57,841","58,909","54,596","53,460","56,110","38,684","27,417","28,671"
Dorset,E06000059,378160,"15,949","19,437","20,480","18,580","14,746","16,746","17,488","17,851","18,803","23,618","27,638","29,208","27,656","27,789","30,034","21,156","15,279","15,694"
Gloucestershire,E10000013,639313,"34,202","37,639","36,387","34,783","33,516","35,151","37,122","38,486","36,820","43,527","48,059","46,101","39,648","37,032","36,918","26,477","19,090","18,351"
Somerset,E10000027,563571,"28,559","32,320","32,206","28,855","25,269","28,958","30,484","29,670","29,195","36,493","41,940","41,876","37,623","37,580","37,739","26,480","18,751","19,577"
