code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases,cases
E07000214,0.28046528,1.2824922,1.2701396,0.7864139,0.6019689,3.1466856,1.5399758,1.825647,0.3946744,1.0033237,1.0849214,0.66310984,-0.09371156,1.3774675,2.0804718,1.647919,0.6721025,1.8225412,1.3434973
E07000215,0.13140407,1.2824922,1.2710731,0.30587882,0.64364594,3.2383745,1.3831168,1.9591595,0.5665336,1.1861476,1.1175297,1.0052946,0.54291195,1.4208324,1.9803632,1.2079929,0.63648176,1.7900182,1.3584151
E07000216,1.6166053,1.2824922,1.2559649,0.3217781,1.217808,3.690157,1.3823059,1.9691485,1.1708171,1.2306821,1.1390864,1.072483,1.2079111,1.3998032,1.791733,0.9090291,0.5748068,1.8225412,1.319618
E07000217,-0.5878271,1.2824922,1.2636366,1.0217012,1.383742,2.769695,1.4192462,1.5568558,-0.21766476,1.1724601,0.9982644,0.54870534,0.5776251,1.2799283,2.5208519,1.5134332,1.0919316,1.7125136,1.3118923
E07000218,0.06628233,1.2824922,1.2976339,0.08476294,-0.27723202,3.042682,1.3217832,2.1749134,0.12347912,1.2031894,1.1315861,-0.14435764,1.3044348,1.4533681,1.776366,0.9467421,1.2622051,1.6899831,1.3109965
E07000219,-0.61248684,1.2824922,1.2551666,1.0349882,0.68368185,2.5111098,0.8232398,1.9102677,-0.6112294,1.2871214,1.1386526,-0.4113312,1.485381,1.4532515,2.0767653,0.8103999,1.5677284,1.8914073,1.2419648
E07000220,0.043465074,1.2824922,1.2613045,0.23280352,0.9867088,2.6755178,1.0881811,1.769414,-0.112584576,1.2684958,1.1388441,0.24540448,1.5354472,1.450722,1.7874341,0.7108062,0.69683063,1.6132259,1.2849988
E07000221,1.85325,1.2824922,1.2554843,-0.20459408,-0.61660194,3.5595946,1.2554256,2.3643062,1.3436372,1.3030034,0.9868129,0.78730345,1.4858085,1.3737761,1.6069536,0.40209544,0.85776806,1.8655756,1.296343
E07000222,0.25148115,1.2824922,1.2520518,0.48455587,-0.11501868,1.7321411,0.5267203,1.7104173,0.05761314,1.3838831,1.1415986,0.9857062,1.5981964,1.4332156,2.2974226,0.41403663,1.0500576,1.8518802,1.2445191
E07000223,0.0683357,1.2824922,1.2995143,1.0053042,0.058646936,3.3138483,1.1676589,2.166464,1.1266643,1.4001869,1.1020867,0.2152249,1.6924881,1.2642751,1.7221597,0.10043114,0.8813083,1.2779864,1.2881573
E07000224,-0.6003598,1.2824922,1.2480602,0.6631106,-0.9974943,3.5272677,0.4086648,2.5065885,1.729568,1.4431261,0.94298863,1.2505573,2.0359857,1.2911873,1.8368106,-0.1709708,0.6516859,1.6132259,1.3440942
E07000225,-0.30468258,1.2824922,1.2572029,-0.11924345,-0.65245706,3.5467088,0.6657404,2.4405005,1.6756287,1.402293,1.0109531,1.5411776,1.8700869,1.4220116,1.7920325,0.0355171,0.6432513,1.6132259,1.3569471
E07000226,-1.225108,1.2824922,1.2595613,1.199279,1.7094606,1.6629204,0.85087293,1.2286835,-1.5842758,1.2394828,0.8406923,0.099011585,0.9500211,1.1258445,2.723383,1.4728276,1.4660741,1.8067222,1.3378992
E07000227,0.68203413,1.2824922,1.2521138,0.16705976,0.16641347,3.4453893,1.3992203,2.139158,0.896374,1.2695202,1.1336565,0.8517863,1.0367222,1.4377409,1.7254466,0.70351255,0.6782566,1.8225412,1.3257619
E07000228,0.536819,1.2824922,1.2504175,0.4264527,0.73276865,3.1938808,1.4011976,1.9087965,0.49542466,1.2311614,1.134935,0.54409367,0.7762474,1.4502109,1.8347481,0.9949204,0.6973025,1.8655756,1.3001201
E07000229,0.67183757,1.2824922,1.2603357,1.2918842,-0.18036462,3.0233881,1.2573218,2.0153847,1.2383466,1.5533009,1.1429344,1.0384232,1.7369626,1.3283248,1.912605,-0.1570992,0.7313265,1.6404343,1.3686783
E07000234,1.5524867,1.2824922,1.2647445,0.43357334,-0.012287997,3.2298646,1.291243,2.1116667,0.9836901,1.1855953,1.1337684,0.58386755,0.9579933,1.435266,1.515544,0.8706855,0.6129484,1.8518802,1.2724723
E07000235,-0.15903665,1.2824922,1.2790238,-0.18515645,-0.87588775,3.944782,1.1226686,2.522258,1.6543874,1.3350899,0.9111612,1.2100861,1.9268748,1.3867998,1.7171097,0.16258009,0.62421304,1.6404343,1.3704848
