code,name,area,population,dPOP,All ages,0-19,20-39,40-59,60-79,80+,Area name ,Care home,Elsewhere,Home,Hospice,Hospital,Other communal establishment,deaths_general,deaths_restricted,cases,days_since_100+_cases,total,1PHHS,2PHHS,3PHHS,4PHHS,5PHHS,6+PHHS,total_households,Household residents,Communal establishment residents,Households with at least one usual resident
E07000073,Harlow,31.0,86594.0,2793.3548387096776,86594.0,23048.0,23492.0,22213.0,13851.0,3990.0,Harlow,7,0,3,0,74,0,77,7,1537.0,249.0,34620,10599,11168,5808,4828,1595,622,81900.0,81600.0,400.0,34600.0
E07000074,Maldon,359.0,64425.0,179.4568245125348,64425.0,13265.0,12011.0,18518.0,16709.0,3922.0,Maldon,5,0,0,0,34,0,34,5,590.0,224.0,25817,6923,9731,3941,3684,1161,377,61600.0,61100.0,500.0,25800.0
E07000075,Rochford,169.0,86981.0,514.6804733727811,86981.0,18600.0,18500.0,24573.0,19902.0,5406.0,Rochford,12,0,6,1,83,0,89,13,1222.0,233.0,33564,8112,12425,5288,5465,1755,519,83300.0,82700.0,600.0,33600.0
E07000076,Tendring,338.0,145803.0,431.3698224852071,145803.0,29709.0,26807.0,36138.0,41392.0,11757.0,Tendring,46,1,7,3,151,0,159,49,1756.0,244.0,62105,20545,23752,8243,6232,2279,1054,138000.0,135800.0,2200.0,62100.0
E07000077,Uttlesford,641.0,89179.0,139.1248049921997,89179.0,21621.0,18484.0,26390.0,17931.0,4753.0,Uttlesford,16,0,1,1,46,1,47,18,1216.0,235.0,31316,7372,11409,5056,5136,1806,537,79400.0,78300.0,1200.0,31300.0
E07000078,Cheltenham,47.0,117090.0,2491.276595744681,117090.0,26375.0,31930.0,30069.0,21936.0,6780.0,Cheltenham,86,2,4,3,52,1,58,90,1660.0,248.0,50929,17735,17716,6822,5921,1942,793,115700.0,112100.0,3600.0,50900.0
E07000079,Cotswold,1165.0,89022.0,76.4137339055794,89022.0,18146.0,16560.0,25404.0,22676.0,6236.0,Cotswold,31,0,0,1,45,1,45,33,1004.0,234.0,36236,10959,14134,4917,4395,1388,443,82900.0,81300.0,1600.0,36200.0
E07000080,Forest of Dean,526.0,86543.0,164.53041825095056,86543.0,18454.0,17032.0,24028.0,21907.0,5122.0,Forest of Dean,7,0,4,0,43,0,47,7,903.0,228.0,34167,9226,13393,5073,4390,1518,567,82000.0,80000.0,1900.0,34200.0
E07000081,Gloucester,41.0,129285.0,3153.2926829268295,129285.0,32034.0,34466.0,34405.0,22521.0,5859.0,Gloucester,76,2,10,0,73,2,85,78,2444.0,245.0,50363,14695,17072,8183,6971,2409,1033,121700.0,120000.0,1700.0,50400.0
E07000082,Stroud,461.0,119019.0,258.175704989154,119019.0,26406.0,23333.0,34805.0,27628.0,6847.0,Stroud,41,0,5,2,64,0,69,43,1511.0,243.0,47794,13472,18175,6771,6504,2133,739,112800.0,111500.0,1300.0,47800.0
E07000083,Tewkesbury,414.0,92599.0,223.66908212560386,92599.0,20829.0,20399.0,25323.0,20544.0,5504.0,Tewkesbury,57,0,5,0,50,1,55,58,1091.0,240.0,35126,9858,13628,5135,4602,1417,486,81900.0,81000.0,900.0,35100.0
E07000084,Basingstoke and Deane,634.0,175729.0,277.17507886435334,175729.0,42750.0,42688.0,50595.0,32085.0,7611.0,Basingstoke and Deane,35,0,2,3,99,1,101,39,2605.0,256.0,69315,18298,25207,11407,10049,3173,1181,167800.0,166500.0,1300.0,69300.0
E07000085,East Hampshire,514.0,120681.0,234.78793774319067,120681.0,27185.0,22782.0,34885.0,27941.0,7888.0,East Hampshire,43,0,4,0,43,0,47,43,1592.0,244.0,47258,12182,17858,7353,6906,2171,788,115600.0,113400.0,2200.0,47300.0
