code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases,cases
E07000129,0.08157247,-0.799024,-0.9401593,-0.46082753,0.0435384,-1.0869615,-0.81934124,-1.100971,0.07825962,-0.6150863,-1.0002682,-0.9994288,-1.2554625,-0.4333759,-0.95804155,-1.3160152,-0.46150842,-1.3379743,1.3182914
E07000130,-0.52388823,-0.799024,-1.0306461,-0.5229451,-0.051193725,-1.7461059,-0.5310954,-1.0979378,-0.32618552,-0.60870665,-0.98730075,-0.7059437,-1.2562251,-0.41916606,-1.0191188,-1.2871436,-1.3996444,-1.323736,1.2766694
E07000131,-0.71506315,-0.799024,-0.9098442,-1.3393099,-0.101861894,-0.5717398,-1.481344,-1.0643358,0.24486397,-0.61185294,-1.0000502,-0.60850513,-1.2056946,-0.5536938,-0.92415833,-1.32861,-0.900048,-1.3465067,1.442478
E07000132,-0.36286673,-0.799024,-0.9731463,-0.7828351,-0.33564577,-0.9314036,-0.93929625,-1.054094,0.023677051,-0.54936546,-0.9793463,-1.045839,-1.2545292,-0.09472967,-0.88394374,-1.0742186,-0.24955913,-1.323736,1.3770288
E07000133,-1.1487353,-0.799024,-0.4913659,-1.6121353,-0.33796376,-0.58582604,-1.3369526,-1.0134001,0.15453508,-0.5851398,-0.97942656,-0.7922775,-1.2712812,-0.18321611,-0.91547567,-1.1351134,-0.3841839,-1.3468755,1.7335422
E07000134,0.280751,-0.799024,-0.94569033,-0.8012061,-0.1583282,-1.0266279,-1.1049434,-1.0917357,-0.39822498,-0.60553116,-0.9996593,-1.0204688,-1.2716447,-0.3603212,-0.9594454,-1.2534171,-0.3087616,-1.3314128,1.3985177
E07000135,0.4084419,-0.799024,-0.59924775,-0.28255957,0.7598514,-0.99083084,-0.5973241,-1.1056824,0.8933714,-0.56827813,-0.9388558,-0.27870518,-1.2691675,-0.92001015,-1.092806,-1.5023012,-1.3921452,-1.3465067,1.3769146
E07000136,-0.11910978,-0.799024,-0.7547227,-1.2055413,0.06470508,-1.2578704,-0.55077004,-1.0862089,0.079641365,-0.57271343,-0.99345624,-0.9528889,-1.0886068,-0.2843924,-1.0358758,-1.1659195,-0.6874345,-1.3314128,1.4133923
E07000137,-0.17310974,-0.799024,-1.0136408,-1.8173827,-0.27211985,-0.30991077,-0.6112261,-0.54051083,0.97589314,-0.39692348,-0.83569753,-0.4176908,-0.28313035,0.051717285,-0.95566136,-0.76697004,-1.1244512,-1.3379743,1.2982185
E07000138,-1.6258303,-0.799024,-0.9354362,-0.29517785,0.34722337,-2.252225,-0.4439498,-0.9635365,-0.68341815,-0.14506488,-0.99575746,-0.8466244,-0.63899773,0.0091621755,-0.98955816,-0.8218064,-1.1349471,-1.3491079,1.3122553
E07000139,-1.1507552,-0.799024,-0.9806429,-1.4915981,-0.3757598,-0.84142727,-0.8177002,-1.0198768,0.36874136,-0.6102905,-0.93932873,-0.9028815,-1.2142091,-0.0009483651,-0.8755772,-1.0925857,-0.8730414,-1.3314128,1.401644
E07000140,-0.5176499,-0.799024,-0.9161447,-1.4953166,-0.41490793,-0.8461126,-0.68540025,-1.0046538,0.7399853,-0.61459833,-0.9406185,-0.8010034,-1.1422507,-0.07997787,-1.0255088,-1.1896956,-0.4100327,-1.3465067,1.4861672
E07000141,-1.2558326,-0.799024,-1.0145483,-1.3657136,-0.14436516,-0.6530867,-0.9659888,-1.022546,0.28910014,-0.5884888,-0.9697611,-1.0092089,-1.2419027,-0.08710728,-0.9042407,-1.1134002,-0.36726665,-1.3337234,1.3719307
E07000142,-1.2483202,-0.799024,-0.9197769,-1.7968829,-0.41930848,-0.59390295,-0.8526368,-0.91061836,0.3344066,-0.5819849,-0.9429042,-0.9475238,-1.0334918,-0.10768741,-0.92006654,-1.0450922,-0.79482985,-1.3555537,1.4817322
