code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases
E07000219,0.69956595,-1.7754705,-1.9523399,-2.0453773,-1.0344114,-1.2533518,-3.0158563,-1.4478157,-1.9748096,-0.6974952,-2.10472,0.41673285,-1.7110593,-1.2041609,-2.0598056,-1.053477,-1.7947997,-1.4103638
E07000220,-0.5708391,-1.7754705,-2.0243843,-1.6868135,-0.74964696,-1.1823243,-2.7586958,-1.5116163,-2.237956,-0.68550956,-2.5492587,-0.79505616,-1.6465498,-1.1962376,-2.346109,-1.1402285,-2.318867,-1.1843283
E07000221,-0.65165824,-1.7754705,-1.9564047,-1.7199373,-2.5718381,-0.7153991,-2.550824,-1.531506,-2.688662,-0.7071606,-3.4965146,-1.8367667,-1.710513,-1.2177612,-2.5204985,-1.4001076,-2.231044,-1.3780702
E07000222,0.04655,-1.7754705,-1.9129037,-1.7293267,-1.949202,-1.5433505,-3.2564578,-1.549995,-2.3220332,-0.73538095,-2.4826477,-2.22351,-1.5622633,-1.2145779,-1.8352541,-1.3902614,-2.1103292,-1.3621509
E07000223,-1.3660603,-1.7754705,-2.1959555,-2.0181715,-1.7373651,-0.86076945,-2.6663773,-1.4355022,-2.694925,-0.73388666,-2.9396074,-0.7378859,-1.4276745,-1.2103711,-2.4095418,-1.6448274,-2.2162902,-1.0687325
E07000224,-1.0595062,-1.7754705,-1.8683145,-1.7942648,-3.0344615,-0.7352357,-3.345935,-1.6905321,-2.1743305,-0.71613103,-3.646415,-2.7431986,-0.77975816,-1.212961,-2.297853,-1.8613869,-2.3123374,-1.1843283
E07000225,-0.8497766,-1.7754705,-1.9780647,-1.7054967,-2.6161299,-0.72333264,-3.1473954,-1.6027945,-2.405833,-0.733473,-3.4047883,-3.3181257,-1.1401534,-1.2162006,-2.341631,-1.6967582,-2.3039734,-1.1843283
E07000226,-0.7313456,-1.7754705,-2.0059083,-2.2295985,-0.30476502,-1.5666691,-2.9915442,-2.1268141,-1.4124601,-0.6663319,-0.5507157,-0.51881117,-2.2764473,-1.0747724,-1.3827033,-0.40806007,-1.8558961,-1.3153611
E07000227,-0.6445238,-1.7754705,-1.9136416,-1.6841336,-1.6084197,-0.7845129,-2.3113194,-1.4300908,-2.6527932,-0.6861793,-2.6371133,-1.9622031,-2.1983235,-1.2136047,-2.4063618,-1.1465197,-2.3216655,-1.3307961
E07000228,-0.9878379,-1.7754713,-1.8935646,-1.7146813,-0.9851804,-0.92722625,-2.3073826,-1.4482754,-2.5175536,-0.6608538,-2.0376668,-1.3661497,-2.4201086,-1.1956093,-2.2998703,-0.88773036,-2.3187373,-1.3780702
E07000229,-1.1822248,-1.7754713,-2.0143454,-2.3712108,-2.0298376,-1.0167238,-2.548128,-1.4261041,-2.699283,-0.6254632,-2.4360118,-2.3266435,-1.3604262,-1.2158201,-2.2233047,-1.8503256,-2.3051794,-1.1981549
E07000234,-0.11811335,-1.7754705,-2.0557725,-1.716312,-1.8233755,-0.90759975,-2.4982018,-1.4263393,-2.6729515,-0.6321442,-2.6355112,-1.4428146,-2.269449,-1.2141677,-2.6076293,-1.0001068,-2.2524161,-1.3621509
